Title,Year,Rating,Votes,Stars
QI,2003– ,8.6,32452,"['Stephen Fry', 'Sandi Toksvig', 'Bill Bailey']"
Harley Quinn,2019– ,8.5,32445,"['Lake Bell', 'Alan Tudyk', 'Ron Funches']"
Suburgatory,2011–2014,7.2,32443,"['Jane Levy', 'Carly Chaikin', 'Allie Grant']"
The Boondocks,2005–2014,8.5,32310,"['John Witherspoon', 'Gary Anthony Williams', 'Cedric Yarbrough']"
Strike Back,2010–2020,8.1,32290,"['Sullivan Stapleton', 'Michelle Lukes', 'Daniel MacPherson']"
Lost Girl,2010–2016,7.6,31756,"['Kris Holden-Ried', 'Zoie Palmer', 'Rick Howland']"
Dragon Ball Super,2015–2018,8.3,31672,"['Naoki Tatsuta', 'Ryô Horikawa', 'Sean Schemmel']"
Black Summer,2019–2021,6.6,31648,"['Justin Chu Cary', 'Christine Lee', 'Zoe Marlett']"
I Am Groot,2022– ,6.7,31641,"['Fred Tatasciore', 'Kaitlyn Robrock', 'Terri Douglas']"
American Vandal,2017–2018,8.1,31626,"['Griffin Gluck', 'Jimmy Tatro', 'Travis Tope']"
Queen of the South,2016–2021,8,31480,"['Hemky Madera', 'Peter Gadiot', 'Veronica Falcón']"
Tokyo Vice,2022– ,8,31299,"['Ken Watanabe', 'Rachel Keller', 'Shô Kasamatsu']"
Pinky and the Brain,1995–1998,7.8,31274,"['Rob Paulsen', 'Tress MacNeille', 'Frank Welker']"
Anger Management,2012–2014,6.5,31263,"['Shawnee Smith', 'Noureen DeWulf', 'Michael Arden']"
Cursed,2020,5.9,31248,"['Devon Terrell', 'Gustaf Skarsgård', 'Daniel Sharman']"
Life on Mars,2006–2007,8.4,31147,"['Philip Glenister', 'Liz White', 'Dean Andrews']"
Dharma & Greg,1997–2002,6.4,31107,"['Thomas Gibson', 'Joel Murray', 'Mimi Kennedy']"
Lilyhammer,2012–2014,7.9,30755,"['Trond Fausa', 'Steinar Sagen', 'Marian Saastad Ottesen']"
Damages,2007–2012,8.1,30642,"['Rose Byrne', 'Tate Donovan', 'Zachary Booth']"
Keeping Up with the Kardashians,2007–2021,2.8,30579,"['Kim Kardashian', 'Kourtney Kardashian', 'Kris Jenner']"
Hercules: The Legendary Journeys,1995–1999,6.4,30518,"['Michael Hurst', 'Kevin Smith', 'Robert Trebor']"
The Order,2019–2020,6.7,30488,"['Sarah Grey', 'Adam DiMarco', 'Louriza Tronco']"
Covert Affairs,2010–2014,7.3,30374,"['Christopher Gorham', 'Kari Matchett', 'Peter Gallagher']"
Pose,2018–2021,8.6,30282,"['Dominique Jackson', 'Indya Moore', 'Angel Bismark Curiel']"
Man vs. Bee,2022,6.7,30061,"['Claudie Blakley', 'Jing Lusi', 'Julian Rhind-Tutt']"
Willow,2022–2023,5.6,30039,"['Ellie Bamber', 'Tony Revolori', 'Erin Kellyman']"
Insatiable,2018–2019,6.5,30027,"['Debby Ryan', 'Christopher Gorham', 'Kimmy Shields']"
The Deuce,2017–2019,8.1,29984,"['Maggie Gyllenhaal', 'Lawrence Gilliard Jr.', 'Margarita Levieva']"
Helix,2014–2015,6.7,29969,"['Kyra Zagorsky', 'Mark Ghanimé', 'Jordan Hayes']"
Kyle XY,2006–2009,7.5,29858,"['Marguerite MacIntyre', 'Bruce Thomas', 'April Matson']"
Roswell,1999–2002,7.5,29800,"['Jason Behr', 'Katherine Heigl', 'Majandra Delfino']"
The Good Fight,2017–2022,8.3,29736,"['Sarah Steele', 'Nyambi Nyambi', 'Michael Boatman']"
Dracula,2013–2014,7.3,29637,"['Jessica De Gouw', 'Thomas Kretschmann', 'Victoria Smurfit']"
The Exorcist,2016–2018,7.9,29502,"['Ben Daniels', 'Kurt Egyiawan', 'Hannah Kasulka']"
StartUp,2016–2018,7.8,29485,"['Edi Gathegi', 'Otmara Marrero', 'Kristen Ariza']"
Our Flag Means Death,2022– ,7.8,29419,"['Joel Fry', 'Samson Kayo', 'Nathan Foad']"
Kim Possible,2002–2007,7.2,29397,"['Will Friedle', 'Nancy Cartwright', 'Tahj Mowry']"
Invasion,2021– ,6,29378,"['Shamier Anderson', 'Shioli Kutsuna', 'Firas Nassar']"
Alphas,2011–2012,7.2,29346,"['Ryan Cartwright', 'Warren Christie', 'Azita Ghanizada']"
Spin City,1996–2002,7.3,29275,"['Charlie Sheen', 'Heather Locklear', 'Richard Kind']"
Medium,2005–2011,7.1,29173,"['Miguel Sandoval', 'Jake Weber', 'Sofia Vassilieva']"
The Fosters,2013–2018,8,28954,"['Sherri Saum', 'Hayden Byerly', 'David Lambert']"
And Just Like That...,2021– ,5.7,28865,"['Cynthia Nixon', 'Kristin Davis', 'Sara Ramirez']"
Outer Range,2022– ,7.1,28846,"['Imogen Poots', 'Lili Taylor', 'Tom Pelphrey']"
Cold Case,2003–2010,7.6,28836,"['Danny Pino', 'John Finn', 'Jeremy Ratchford']"
Baywatch,1989–2001,5.4,28675,"['Pamela Anderson', 'Yasmine Bleeth', 'Jeremy Jackson']"
Batman Beyond,1999–2001,8.1,28594,"['Kevin Conroy', 'Lauren Tom', 'Cree Summer']"
Victoria,2016–2019,8.2,28585,"['Adrian Schiller', 'Tommy Knight', 'Jordan Waller']"
The Resident,2018– ,7.8,28554,"['Manish Dayal', 'Bruce Greenwood', 'Malcolm-Jamal Warner']"
Counterpart,2017–2019,8,28540,"['Olivia Williams', 'Harry Lloyd', 'Nazanin Boniadi']"
Evil,2019– ,7.7,28502,"['Mike Colter', 'Aasif Mandvi', 'Michael Emerson']"
Family Matters,1989–1998,6.6,28463,"['Jaleel White', 'Kellie Shanygne Williams', 'Darius McCrary']"
The Carrie Diaries,2013–2014,7,28373,"['Austin Butler', 'Ellen Wong', 'Katie Findlay']"
SEAL Team,2017– ,7.8,28367,"['Neil Brown Jr.', 'A.J. Buckley', 'Toni Trucks']"
My Wife and Kids,2001–2005,6.9,28356,"['Tisha Campbell', 'George Gore II', 'Parker McKenna Posey']"
Endeavour,2012–2023,8.6,28308,"['Roger Allam', 'James Bradshaw', 'Sean Rigby']"
Las Vegas,2003–2008,7.4,28307,"['James Caan', 'James Lesure', 'Vanessa Marcil']"
Fuller House,2016–2020,6.7,28231,"['Jodie Sweetin', 'Fox Messitt', 'Andrea Barber']"
Call the Midwife,2012– ,8.6,28218,"['Laura Main', 'Jenny Agutter', 'Stephen McGann']"
Nurse Jackie,2009–2015,7.8,28071,"['Merritt Wever', 'Paul Schulze', 'Dominic Fumusa']"
Mythic Quest,2020– ,7.7,28046,"['Charlotte Nicdao', 'Ashly Burch', 'Jessie Ennis']"
Pieces of Her,2022– ,6.3,28021,"['Bella Heathcote', 'Jessica Barden', 'Joe Dempsie']"
The Missing,2014–2016,8.2,28011,"['Anastasia Hille', 'James Nesbitt', ""Frances O'Connor""]"
Vice Principals,2016–2018,8,27900,"['Walton Goggins', 'Sheaun McKinney', 'Georgia King']"
Warrior,2019– ,8.4,27798,"['Olivia Cheng', 'Jason Tobin', 'Dianne Doan']"
First Kill,2022,6.5,27753,"['Imani Lewis', 'Elizabeth Mitchell', 'Aubin Wise']"
Miami Vice,1984–1989,7.5,27666,"['Philip Michael Thomas', 'Saundra Santiago', 'Olivia Brown']"
Top Boy,2011– ,8.4,27613,"['Kano', 'Micheal Ward', 'Jasmine Jobson']"
Rise of Empires: Ottoman,2020–2022,7.9,27604,"['Tuba Büyüküstün', 'Alp Ilkman', 'Ushan Çakir']"
The L Word,I) (2004–2009,7.7,27559,"['Leisha Hailey', 'Laurel Holloman', 'Mia Kirshner']"
Southland,2009–2013,8.5,27501,"['Shawn Hatosy', 'Regina King', 'Ben McKenzie']"
Inhumans,2017,4.9,27500,"['Serinda Swan', 'Ken Leung', 'Eme Ikwuakor']"
I Love Lucy,1951–1957,8.5,27397,"['Desi Arnaz', 'Vivian Vance', 'William Frawley']"
1923,2022–2023,8.5,27377,"['Helen Mirren', 'Brandon Sklenar', 'Julia Schlaepfer']"
Masters of the Universe: Revelation,2021,5.4,27295,"['Lena Headey', 'Mark Hamill', 'Tiffany Smith']"
Private Practice,2007–2013,6.8,27244,"['Paul Adelstein', 'KaDee Strickland', 'Taye Diggs']"
Star Wars: Clone Wars,2003–2005,7.8,27153,"['James Arnold Taylor', 'André Sogliuzzo', 'Grey Griffin']"
Runaways,2017–2019,6.9,27125,"['Lyrica Okano', 'Virginia Gardner', 'Ariela Barer']"
Rescue Me,2004–2011,8.3,26973,"['Michael Lombardi', 'Steven Pasquale', 'Andrea Roth']"
You're the Worst,2014–2019,8.1,26943,"['Aya Cash', 'Desmin Borges', 'Kether Donohue']"
The Closer,2005–2012,7.8,26901,"['J.K. Simmons', 'Corey Reynolds', 'Robert Gossett']"
"Magnum, P.I.",1980–1988,7.5,26871,"['John Hillerman', 'Roger E. Mosley', 'Larry Manetti']"
Harper's Island,2009,7.4,26832,"['Christopher Gorham', 'Matt Barr', 'Gina Holden']"
Rectify,2013–2016,8.3,26766,"['Abigail Spencer', 'J. Smith-Cameron', 'Adelaide Clemens']"
The Midnight Club,2022,6.5,26739,"['Igby Rigney', 'Sadoc Vazkez', 'Ruth Codd']"
Chicago Med,2015– ,7.6,26714,"['Marlyne Barrett', 'S. Epatha Merkerson', 'Oliver Platt']"
Inside Look: The People v. O.J. Simpson - American Crime Story,2016,8.4,26662,"['Sterling K. Brown', 'Nina Jacobson', 'Brad Simpson']"
Better Off Ted,2009–2010,8.2,26612,"['Portia de Rossi', 'Andrea Anders', 'Jonathan Slavin']"
Mike & Molly,2010–2016,6.5,26602,"['Melissa McCarthy', 'Reno Wilson', 'Katy Mixon']"
Firefly Lane,2021–2023,7.4,26581,"['Sarah Chalke', 'Ben Lawson', 'Ali Skovbye']"
Victorious,2010–2013,7,26571,"['Leon Thomas III', 'Matt Bennett', 'Elizabeth Gillies']"
The Venture Bros.,2003–2018,8.6,26560,"['James Urbaniak', 'Doc Hammer', 'Michael Sinterniklaas']"
Witches of East End,2013–2014,7.5,26551,"['Jenna Dewan', 'Rachel Boston', 'Mädchen Amick']"
Future Man,2017–2020,7.7,26525,"['Eliza Coupe', 'Derek Wilson', 'Haley Joel Osment']"
The World at War,1973–1974,9.2,26520,"['Averell Harriman', 'Albert Speer', 'Anthony Eden']"
Recess,1997–2001,7.9,26404,"['Ashley Johnson', 'Jason Davis', ""Rickey D'Shon Collins""]"
Jackass,2000–2007,7.3,26395,"['Bam Margera', 'Chris Pontius', 'Dave England']"
Fresh Off the Boat,2015–2020,7.8,26355,"['Constance Wu', 'Hudson Yang', 'Forrest Wheeler']"
Nashville,2012–2018,7.7,26341,"['Clare Bowen', 'Charles Esten', 'Jonathan Jackson']"
The Event,2010–2011,7,26327,"['Sarah Roemer', 'Ian Anthony Dale', 'Zeljko Ivanek']"
Law & Order: Criminal Intent,2001–2011,7.5,26295,"[""Vincent D'Onofrio"", 'Jamey Sheridan', 'Courtney B. Vance']"
Black Lightning,2017–2021,6.1,26151,"['Nafessa Williams', 'Christine Adams', 'Marvin Jones III']"
8 Simple Rules,2002–2005,7,26128,"['Kaley Cuoco', 'Amy Davidson', 'Martin Spanjers']"
Swamp Thing,2019,7.4,26096,"['Virginia Madsen', 'Andy Bean', 'Derek Mears']"
Being Human,2011–2014,7.5,26085,"['Meaghan Rath', 'Sam Huntington', 'Kristen Hager']"
7th Heaven,1996–2007,5.2,26076,"['Catherine Hicks', 'Jessica Biel', 'Beverley Mitchell']"
Solar Opposites,2020– ,8,26073,"['Sean Giambrone', 'Mary Mack', 'Sagan McMahan']"
"Murder, She Wrote",1984–1996,7.1,25982,"['William Windom', 'Ron Masak', 'Louis Herthum']"
Daria,1997–2002,8.1,25940,"['Wendy Hoopes', 'Julian Rebolledo', 'John Lynn']"
'Allo 'Allo!,1982–1992,8.4,25936,"['Carmen Silvera', 'Vicki Michelle', 'Richard Marner']"
The Mist,2017,5.4,25915,"['Alyssa Sutherland', 'Gus Birney', 'Danica Curcic']"
Why Women Kill,2019–2021,8.3,25827,"['Lucy Liu', 'Allison Tolman', 'Ginnifer Goodwin']"
Aqua Teen Hunger Force,2000–2015,7.7,25805,"['Carey Means', 'Dana Snyder', 'Matt Maiellaro']"
Survivor,2000– ,7.5,25785,"['Lillian Morris', 'Jon Dalton', 'Rob Mariano']"
Dear White People,2017–2021,6.3,25782,"['Brandon P Bell', 'DeRon Horton', 'Antoinette Robertson']"
The Gilded Age,2022– ,8,25752,"['Celia Keenan-Bolger', 'Debra Monk', ""Kelli O'Hara""]"
Being Human,2008–2013,7.8,25745,"['Russell Tovey', 'Aidan Turner', 'Sinéad Keenan']"
House of Lies,2012–2016,7.4,25729,"['Kristen Bell', 'Ben Schwartz', 'Josh Lawson']"
The Dark Crystal: Age of Resistance,2019,8.4,25666,"['Beccy Henderson', 'Nathalie Emmanuel', 'Taron Egerton']"
S.W.A.T.,2017– ,7.1,25613,"['Jay Harrington', 'Alex Russell', 'Kenny Johnson']"
Caprica,2009–2010,7.1,25611,"['Esai Morales', 'Paula Malcomson', 'Alessandra Torresani']"
The Nevers,2021–2023,7.4,25577,"['Ann Skelly', 'Olivia Williams', 'James Norton']"
Sex/Life,2021– ,5.5,25462,"['Mike Vogel', 'Adam Demos', 'Margaret Odette']"
Switched at Birth,2011–2017,7.7,25447,"['Vanessa Marano', 'Constance Marie', 'D.W. Moffett']"
Homecoming,2018–2020,7.4,25414,"['Bobby Cannavale', 'Hong Chau', 'Alex Karpovsky']"
Tales from the Crypt,1989–1996,8,25324,"['Roy Brocksmith', 'Miguel Ferrer', 'Cam Clarke']"
Permanent Roommates,2014–2016,8.6,25315,"['Nidhi Singh', 'Deepak Kumar Mishra', 'Shishir Sharma']"
From,2022– ,7.6,25291,"['Harold Perrineau', 'Catalina Sandino Moreno', 'Eion Bailey']"
Zoo,2015–2017,6.6,25257,"['Kristen Connolly', 'Nonso Anozie', 'Billy Burke']"
Mozart in the Jungle,2014–2018,8.1,25221,"['Lola Kirke', 'Saffron Burrows', 'Hannah Dunne']"
The Muppet Show,1976–1981,8.4,25163,"['Frank Oz', 'Richard Hunt', 'Dave Goelz']"
Letterkenny,2016– ,8.7,25079,"['Nathan Dales', 'Michelle Mylett', 'K. Trevor Wilson']"
Top Gear,1978–2002,8.4,25028,"['Jeremy Clarkson', 'Quentin Willson', 'William Woollard']"
Tales of the Jedi,2022– ,8.2,25015,"['Ashley Eckstein', 'Dee Bradley Baker', 'Ian McDiarmid']"
Mystery Science Theater 3000,1988–1999,8.7,25014,"['Michael J. Nelson', 'Trace Beaulieu', 'Kevin Murphy']"
Unforgotten,2015– ,8.3,24987,"['Jordan Long', 'Nicola Walker', 'Lewis Reeves']"
Lois & Clark: The New Adventures of Superman,1993–1997,6.7,24937,"['Teri Hatcher', 'Lane Smith', 'K Callan']"
Little Britain,2003–2006,7.7,24937,"['David Walliams', 'Tom Baker', 'Paul Putner']"
Away,2020,6.6,24693,"['Josh Charles', 'Vivian Wu', 'Ray Panthaki']"
The Dragon Prince,2018– ,8.3,24680,"['Jack De Sena', 'Sasha Rojen', 'Jason Simpson']"
Greek,2007–2011,7.6,24680,"['Scott Michael Foster', 'Spencer Grammer', 'Paul James']"
The Grim Adventures of Billy & Mandy,2001–2007,7.7,24650,"['Richard Steven Horvitz', 'Grey Griffin', 'Vanessa Marshall']"
Moonlight,2007–2008,7.6,24639,"['Sophia Myles', 'Jason Dohring', 'Shannyn Sossamon']"
Reaper,2007–2009,7.8,24585,"['Tyler Labine', 'Rick Gonzalez', 'Missy Peregrym']"
Brothers & Sisters,2006–2011,7.4,24528,"['Calista Flockhart', 'Rachel Griffiths', 'Ron Rifkin']"
Devious Maids,2013–2016,7.8,24514,"['Dania Ramirez', 'Roselyn Sanchez', 'Judy Reyes']"
Animaniacs,1993–1998,7.9,24507,"['Jess Harnell', 'Tress MacNeille', 'Frank Welker']"
Little House on the Prairie,1974–1983,7.5,24497,"['Michael Landon', 'Karen Grassle', 'Rachel Lindsay Greenbush']"
Conan,2010–2021,8.2,24495,"['Andy Richter', 'Jimmy Vivino and the Basic Cable Band', 'Jimmy Vivino']"
Studio 60 on the Sunset Strip,2006–2007,8.3,24483,"['Amanda Peet', 'Bradley Whitford', 'Steven Weber']"
Salem,2014–2017,7.1,24449,"['Shane West', 'Seth Gabel', 'Tamzin Merchant']"
Extant,2014–2015,6.5,24412,"['Pierce Gagnon', 'Grace Gummer', 'Tyler Hilton']"
The Thick of It,2005–2012,8.7,24344,"['James Smith', 'Peter Capaldi', 'Joanna Scanlan']"
United States of Tara,2009–2011,8,24339,"['John Corbett', 'Rosemarie DeWitt', 'Keir Gilchrist']"
Camelot,2011,6.5,24249,"['Jamie Campbell Bower', 'Tamsin Egerton', 'Peter Mooney']"
Inside Job,2021–2022,7.7,24226,"['Christian Slater', 'Clark Duke', 'Tisha Campbell']"
Black-ish,2014–2022,7.3,24193,"['Tracee Ellis Ross', 'Marcus Scribner', 'Miles Brown']"
Vinyl,2016,7.7,24131,"['Paul Ben-Victor', 'P.J. Byrne', 'Max Casella']"
Mad About You,1992–2019,6.7,24102,"['Helen Hunt', 'John Pankow', 'Leila Kenzle']"
Madam Secretary,2014–2019,7.7,24069,"['Tim Daly', 'Erich Bergen', 'Zeljko Ivanek']"
Delhi Crime,2019– ,8.5,24032,"['Rajesh Tailang', 'Rasika Dugal', 'Anurag Arora']"
Younger,2015–2021,7.8,24029,"['Hilary Duff', 'Debi Mazar', 'Nico Tortorella']"
Batman,1966–1968,7.5,23972,"['Burt Ward', 'Alan Napier', 'Neil Hamilton']"
Jersey Shore,2009–2012,3.8,23953,"[""Sammi 'Sweetheart' Giancola"", 'Nicole Polizzi', ""Mike 'The Situation' Sorrentino""]"
Dominion,2014–2015,6.7,23912,"['Tom Wisdom', 'Roxanne McKee', 'Luke Allen-Gale']"
The Sex Lives of College Girls,2021– ,7.8,23839,"['Amrit Kaur', 'Reneé Rapp', 'Alyah Chanelle Scott']"
CatDog,1998–2005,6.5,23825,"['Tom Kenny', 'Carlos Alazraqui', 'Billy West']"
The Ren & Stimpy Show,1991–1996,7.5,23678,"['Billy West', 'Harris Peet', 'Bob Camp']"
Wynonna Earp,2016–2021,7.3,23578,"['Tim Rozon', 'Dominique Provost-Chalkley', 'Katherine Barrell']"
Death in Paradise,2011– ,7.8,23490,"['Don Warrington', 'Danny John-Jules', 'Tobi Bakare']"
Dynasty,2017–2022,7.3,23458,"['Rafael de la Fuente', 'Robert Christopher Riley', 'Sam Adegoke']"
The Politician,2019–2020,7.5,23408,"['Zoey Deutch', 'Lucy Boynton', 'Julia Schlaepfer']"
The Librarians,2014–2018,7.2,23348,"['Christian Kane', 'Lindy Booth', 'John Harlan Kim']"
Mr. Mercedes,2017–2019,7.8,23324,"['Holland Taylor', 'Jharrel Jerome', 'Breeda Wool']"
I May Destroy You,2020,8.1,23308,"['Weruche Opia', 'Paapa Essiedu', 'Stephen Wight']"
Key and Peele,2012–2015,8.3,23281,"['Jordan Peele', 'Metta World Peace', 'Brendan Hunt']"
Foster's Home for Imaginary Friends,2004–2009,7.6,23220,"['Grey Griffin', 'Candi Milo', 'Tom Kenny']"
Salvation,2017–2018,6.9,23193,"['Jennifer Finnigan', 'Charlie Rowe', 'Jacqueline Byers']"
Mighty Morphin Power Rangers,1993–1996,6.5,23129,"['David Yost', 'Ed Neil', 'Paul Schrier']"
Abbott Elementary,2021– ,8.2,23125,"['Tyler James Williams', 'Janelle James', 'Lisa Ann Walter']"
Tyrant,2014–2016,7.7,23118,"['Jennifer Finnigan', 'Ashraf Barhom', 'Moran Atias']"
Trapped,2015– ,8,23083,"['Ilmur Kristjánsdóttir', 'Björn Hlynur Haraldsson', 'Guðjón Pedersen']"
The Wilds,2020–2022,7.3,23033,"['Sophia Ali', 'Shannon Berry', 'Jenna Clause']"
The Mighty Boosh,2003–2007,8.4,23030,"['Noel Fielding', 'Michael Fielding', 'Rich Fulcher']"
Van Helsing,2016–2021,6.2,23015,"['Jonathan Scarfe', 'Aleks Paunovic', 'Rukiya Bernard']"
Big Sky,2020– ,6.8,23006,"['Kylie Bunbury', 'Dedee Pfeiffer', 'J. Anthony Pena']"
Hustle,2004–2012,8.2,22996,"['Robert Vaughn', 'Rob Jarvis', 'Adrian Lester']"
Crashing,2016,7.6,22980,"['Jonathan Bailey', 'Julie Dray', 'Louise Ford']"
The Get Down,2016–2017,8.2,22968,"['Shameik Moore', 'Herizen F. Guardiola', 'Skylan Brooks']"
Transparent,2014–2019,7.8,22962,"['Amy Landecker', 'Gaby Hoffmann', 'Jay Duplass']"
A League of Their Own,2022– ,7.5,22949,"['Chanté Adams', ""D'Arcy Carden"", 'Gbemisola Ikumelo']"
Wentworth,2013–2021,8.6,22928,"['Katrina Milosevic', 'Robbie Magasiva', 'Jacquie Brennan']"
The Gift,2019–2021,7,22877,"['Mehmet Günsür', 'Melisa Senolsun', 'Metin Akdülger']"
The Adventures of Sherlock Holmes,1984–1985,8.7,22873,"['David Burke', 'Rosalie Williams', 'Eric Porter']"
Man vs. Wild,2006–2020,8.2,22863,"['Will Ferrell', 'Sean Lacoste', 'Joe Rest']"
The Musketeers,2014–2016,7.8,22842,"['Tom Burke', 'Santiago Cabrera', 'Howard Charles']"
That '90s Show,2023– ,6.4,22828,"['Debra Jo Rupp', 'Callie Haverda', 'Ashley Aufderheide']"
Good Luck Charlie,2010–2014,7.1,22824,"['Leigh-Allyn Baker', 'Bradley Steven Perry', 'Mia Talerico']"
Bad Sisters,2022– ,8.3,22738,"['Claes Bang', 'Eve Hewson', 'Sarah Greene']"
American Horror Stories,2021– ,6.2,22727,"['Paris Jackson', 'Merrin Dungey', 'Selena Sloan']"
