Title,Year,Rating,Votes,Stars
Killjoys,2015–2019,7.2,22702,"['Aaron Ashmore', 'Luke Macfarlane', 'Tamsen McDonough']"
Dirty John,2018– ,7.2,22630,"['Christian Slater', 'Eric Bana', 'Amanda Peet']"
Bewitched,1964–1972,7.6,22608,"['Dick York', 'Dick Sargent', 'Agnes Moorehead']"
The Transformers,1984–1987,8,22522,"['Peter Cullen', 'Corey Burton', 'Christopher Collins']"
The Bold Type,2017–2021,7.8,22463,"['Aisha Dee', 'Meghann Fahy', 'Melora Hardin']"
Chucky,2021– ,7.3,22461,"['Bjorgvin Arnarson', 'Alyvia Alyn Lind', 'Brad Dourif']"
Hung,2009–2011,7.2,22457,"['Jane Adams', 'Charlie Saxton', 'Sianoa Smit-McPhee']"
"The Adventures of Jimmy Neutron, Boy Genius",2002–2006,6.7,22399,"['Jeffrey Garcia', 'Rob Paulsen', 'Carolyn Lawrence']"
Ben 10,2005–2008,7.4,22393,"['Paul Eiding', 'Meagan Moore', 'Dee Bradley Baker']"
Big Love,2006–2011,7.7,22368,"['Jeanne Tripplehorn', 'Chloë Sevigny', 'Ginnifer Goodwin']"
TURN: Washington's Spies,2014–2017,8.1,22354,"['Heather Lind', 'Samuel Roukin', 'Daniel Henshall']"
The Unit,2006–2009,8,22309,"['Regina Taylor', 'Audrey Marie Anderson', 'Robert Patrick']"
Teen Titans Go!,2013– ,5.4,22276,"['Khary Payton', 'Scott Menville', 'Tara Strong']"
Frontier,2016–2018,7.1,22270,"['Landon Liboiron', 'Zoe Boyle', 'Greg Bryk']"
Fortitude,2015–2018,7.3,22246,"['Björn Hlynur Haraldsson', 'Sienna Guillory', 'Mia Jexen']"
Vigil,2021– ,7.4,22243,"['Rose Leslie', 'Shaun Evans', 'Paterson Joseph']"
Poker Face,2023– ,8,22228,"['Benjamin Bratt', 'Simon Helberg', 'Pedro Hollywood']"
The Jetsons,1962–1963,7,22220,"['Janet Waldo', 'Mel Blanc', 'Penny Singleton']"
Time,2021– ,8.2,22072,"['Stephen Graham', 'James Nelson-Joyce', 'Hannah Walters']"
Yu-Gi-Oh!,I) (2000–2006,7.3,22004,"['Dan Green', 'Wayne Grayson', 'Amy Birnbaum']"
MacGyver,2016–2021,5.3,22003,"['Tristin Mays', 'Justin Hires', 'Meredith Eaton']"
The Summer I Turned Pretty,2022– ,7.4,21979,"['Jackie Chung', 'Rachel Blanchard', 'Christopher Briney']"
Portlandia,2011–2018,7.8,21916,"['Carrie Brownstein', 'Kyle MacLachlan', 'Sam Adams']"
Inspector Gadget,1983–1986,6.7,21889,"['Holly Berger', 'Frank Welker', 'Luc Durand']"
American Idol,2002– ,4.2,21882,"['Mark Thompson', 'Randy Jackson', 'Simon Cowell']"
Friends from College,2017–2019,6.9,21868,"['Cobie Smulders', 'Annie Parisse', 'Nat Faxon']"
Perception,2012–2015,7.5,21868,"['Rachael Leigh Cook', 'Kelly Rowan', 'Arjay Smith']"
Last Resort,I) (2012–2013,7.3,21826,"['Scott Speedman', 'Daisy Betts', 'Camille De Pazzis']"
Harry & Meghan,2022,4.9,21822,"['Prince Harry', 'Doria Ragland', 'David Olusoga']"
Invader ZIM,2001–2006,8.4,21819,"['Richard Steven Horvitz', 'Rikki Simons', 'Melissa Fahn']"
Royal Pains,2009–2016,7.1,21769,"['Paulo Costanzo', 'Reshma Shetty', ""Brooke D'Orsay""]"
Sanctuary,2008–2011,7.3,21717,"['Robin Dunne', 'Christopher Heyerdahl', 'Ryan Robbins']"
Prodigal Son,2019–2021,7.7,21701,"['Lou Diamond Phillips', 'Halston Sage', 'Aurora Perrineau']"
Ripper Street,2012–2016,8.1,21679,"['Adam Rothenberg', 'MyAnna Buring', 'Jerome Flynn']"
Perry Mason,2020– ,7.6,21621,"['Shea Whigham', 'Eric Lange', 'Juliet Rylance']"
Moonlighting,1985–1989,7.6,21610,"['Bruce Willis', 'Allyce Beasley', 'Curtis Armstrong']"
Hell's Kitchen,2005– ,7.1,21578,"['Jean Philippe Susilovic', 'Scott Leibfried', 'Jason Thompson']"
My Little Pony: Friendship Is Magic,2010–2020,7.7,21534,"['Tara Strong', 'Tabitha St. Germain', 'Andrea Libman']"
Undone,2019– ,8.2,21529,"['Angelique Cabral', 'Constance Marie', 'Bob Odenkirk']"
Daybreak,I) (2019,6.7,21472,"['Alyvia Alyn Lind', 'Sophie Simnett', 'Austin Crute']"
Queer as Folk,II) (1999–2005,8.5,21416,"['Hal Sparks', 'Randy Harrison', 'Michelle Clunie']"
RuPaul's Drag Race,2009– ,8.5,21320,"['Michelle Visage', 'Jason Carter', 'Ross Mathews']"
Winning Time: The Rise of the Lakers Dynasty,2022– ,8.3,21286,"['Quincy Isaiah', 'Jason Clarke', 'Gaby Hoffmann']"
Crazy Ex-Girlfriend,2015–2019,7.8,21251,"['Donna Lynne Champlin', 'Vincent Rodriguez III', 'Pete Gardner']"
The Midnight Gospel,2020,8.2,21235,"['Duncan Trussell', 'Joey Diaz', 'Doug Lussenhop']"
Codename: Kids Next Door,2002–2008,7.2,21216,"['Dee Bradley Baker', 'Lauren Tom', 'Cree Summer']"
Reno 911!,2003– ,7.9,21207,"['Cedric Yarbrough', 'Robert Ben Garant', 'Kerri Kenney']"
Awake,2012,7.9,21187,"['Laura Allen', 'Steve Harris', 'Dylan Minnette']"
Cloak & Dagger,2018–2019,6.6,21179,"['Aubrey Joseph', 'Gloria Reuben', 'Emma Lahana']"
Gavin & Stacey,2007–2019,8.2,21176,"['Mathew Horne', 'Alison Steadman', 'Ruth Jones']"
My So-Called Life,1994–1995,8.4,21175,"['Wilson Cruz', 'Claire Danes', 'Devon Gummersall']"
Everything Sucks!,2018,7.5,21165,"['Peyton Kennedy', 'Patch Darragh', 'Claudine Mboligikpelani Nako']"
Lovesick,2014–2018,8,21145,"['Antonia Thomas', 'Daniel Ings', 'Joshua McGuire']"
Knightfall,2017–2019,6.8,21050,"['Pádraic Delaney', 'Simon Merrells', 'Julian Ovenden']"
I'm Alan Partridge,1997–2002,8.6,21037,"['Simon Greenall', 'Felicity Montagu', 'Phil Cornwell']"
Rocko's Modern Life,1993–1996,7.9,20957,"['Tom Kenny', 'Charlie Adler', 'Mr. Lawrence']"
From Dusk Till Dawn: The Series,2014–2016,6.8,20915,"['Zane Holtz', 'Jesse Garcia', 'Eiza González']"
Avenue 5,2020–2022,6.6,20904,"['Josh Gad', 'Zach Woods', 'Rebecca Front']"
Baby Daddy,2012–2017,7.3,20892,"['Derek Theler', 'Melissa Peterman', 'Chelsea Kane']"
Ringer,2011–2012,6.9,20891,"['Kristoffer Polaha', 'Ioan Gruffudd', 'Nestor Carbonell']"
Them,2021– ,7.4,20861,"['Ashley Thomas', 'Shahadi Wright Joseph', 'Alison Pill']"
Ghosts,2021– ,7.9,20842,"['Utkarsh Ambudkar', 'Brandon Scott Jones', 'Richie Moriarty']"
Cow and Chicken,1997–1999,6.6,20840,"['Candi Milo', 'Dee Bradley Baker', 'Michael Dorn']"
Just Shoot Me!,1997–2003,6.9,20770,"['Enrico Colantoni', 'George Segal', 'Wendie Malick']"
I Know This Much Is True,2020,8.1,20756,"['John Procaccino', 'Rob Huebel', 'Gabe Fazio']"
Bull,2016–2022,7.1,20749,"['Geneva Carr', 'Jaime Lee Kirchner', 'Chris Jackson']"
Drawn Together,2004–2007,7.1,20739,"['Jess Harnell', 'Abbey McBride', 'Jack Plotnick']"
Catastrophe,2015–2019,8.2,20710,"['Rob Delaney', 'Mark Bonnar', 'Ashley Jensen']"
Without a Trace,2002–2009,7,20699,"['Poppy Montgomery', 'Enrique Murciano', 'Eric Close']"
C.B. Strike,2017– ,7.9,20668,"['Holliday Grainger', 'Kerr Logan', 'Jack Greenlees']"
That's So Raven,2003–2007,6.6,20554,"['Orlando Brown', 'Anneliese van der Pol', 'Kyle Massey']"
The Rehearsal,2022– ,8.6,20546,"['Journey Baker', 'Anna Lamadrid', 'Sawyer J. Bell']"
Dash & Lily,2020,7.5,20520,"['Midori Francis', 'Dante Brown', 'Troy Iwata']"
Doctor Foster: A Woman Scorned,2015–2017,7.6,20519,"['Bertie Carvel', 'Tom Taylor', 'Thusitha Jayasundera']"
Paradise PD,2018–2022,6.8,20514,"['Tom Kenny', 'Kyle Kinane', 'Cedric Yarbrough']"
The Addams Family,1964–1966,8,20455,"['Carolyn Jones', 'Jackie Coogan', 'Ted Cassidy']"
Chip 'n' Dale Rescue Rangers,1989–1990,7.6,20439,"['Corey Burton', 'Jim Cummings', 'Peter Cullen']"
Absolutely Fabulous,1992–2012,8.2,20437,"['Joanna Lumley', 'Julia Sawalha', 'June Whitfield']"
The Secret Life of the American Teenager,2008–2013,4.9,20406,"['Molly Ringwald', 'India Eisley', 'Mark Derwin']"
Tales from the Loop,2020,7.4,20387,"['Paul Schneider', 'Rebecca Hall', 'Robert Nahum']"
Dave,2020– ,8.3,20353,"['Andrew Santino', 'Gata', 'Taylor Misiak']"
How I Met Your Father,2022– ,5.5,20281,"['Christopher Lowell', 'Francia Raisa', 'Suraj Sharma']"
Jackie Chan Adventures,2000–2005,7.4,20278,"['James Sie', 'Stacie Chan', 'Sab Shimono']"
Drop Dead Diva,2009–2014,7.5,20231,"['Margaret Cho', 'Kate Levering', 'April Bowlby']"
Go On,2012–2013,7.5,20227,"['Laura Benanti', 'Julie White', 'Suzy Nakamura']"
Dota: Dragon's Blood,2021– ,7.8,20217,"['Lara Pulver', 'Troy Baker', 'Freya Tingley']"
Snowfall,2017–2023,8.2,20198,"['Carter Hudson', 'Isaiah John', 'Amin Joseph']"
Medici,2016–2019,7.9,20189,"['Alessandra Mastronardi', 'Synnove Karlsen', 'Sebastian De Souza']"
Pan Am,2011–2012,7,20181,"['Margot Robbie', 'Michael Mosley', 'Karine Vanasse']"
Tehran,2020– ,7.6,20153,"['Shaun Toub', 'Shervin Alenabi', 'Shila Ommi']"
Shetland,2013– ,8.2,20145,"['Steven Robertson', 'Douglas Henshall', 'Lewis Howden']"
Mr Inbetween,2018–2021,8.6,20134,"['Chika Yasumura', 'Justin Rosniak', 'Damon Herriman']"
Unforgettable,2011–2016,6.8,20134,"['Dylan Walsh', 'James Hiroyuki Liao', 'Jane Curtin']"
Dinosaurs,1991–1994,7.5,20105,"['Allan Trautman', 'Jessica Walter', 'Leif Tilden']"
Looking,2014–2015,8.2,20067,"['Frankie J. Alvarez', 'Murray Bartlett', 'Lauren Weedman']"
Kim's Convenience,2016–2021,8.2,20047,"['Jean Yoon', 'Andrea Bang', 'Simu Liu']"
Mayans M.C.,2018– ,7.6,19968,"['Clayton Cardenas', 'Michael Irby', 'Carla Baratta']"
The Penguins of Madagascar,2008–2015,7.5,19938,"['Tom McGrath', 'Jeff Bennett', 'James Patrick Stuart']"
Shrinking,2023– ,8,19917,"['Jessica Williams', 'Harrison Ford', 'Luke Tennie']"
The Suite Life on Deck,2008–2011,6.3,19893,"['Cole Sprouse', 'Brenda Song', 'Debby Ryan']"
Sweet Magnolias,2020– ,7.3,19788,"['JoAnna Garcia Swisher', 'Brooke Elliott', 'Heather Headley']"
The Capture,2019– ,7.9,19760,"['Ben Miles', 'Lia Williams', 'Cavan Clerkin']"
Vikingane,2016–2020,7.7,19756,"['Nils Jørgen Kaalstad', 'Jon Øigarden', 'Bjørn Myrene']"
The Pink Panther Show,1969–2011,7.6,19747,"['Larry D. Mann', 'Rich Little', 'Paul Frees']"
Intelligence,2014,6.8,19722,"['Meghan Ory', 'John Billingsley', 'P.J. Byrne']"
Caliphate,2020,8.2,19716,"['Amed Bozan', 'Aliette Opheim', 'Albin Grenholm']"
Lizzie McGuire,2001–2004,6.6,19697,"['Adam Lamberg', 'Robert Carradine', 'Lalaine']"
Insecure,2016–2021,8,19640,"['Yvonne Orji', 'Jay Ellis', 'Natasha Rothwell']"
Happy Days,1974–1984,7.4,19617,"['Henry Winkler', 'Marion Ross', 'Tom Bosley']"
The Bridge,I) (2013–2014,7.6,19614,"['Diane Kruger', 'Thomas M. Wright', 'Ted Levine']"
Friday Night Dinner,2011–2020,8.1,19606,"['Simon Bird', 'Paul Ritter', 'Tom Rosenthal']"
The Eric Andre Show,2012– ,8.6,19592,"['Hannibal Buress', 'Tom Ato', 'Early McCalister']"
Criminal: UK,2019–2020,7.6,19587,"['Lee Ingleby', 'Rochenda Sandall', 'Shubham Saraf']"
Bosch: Legacy,2022– ,8.5,19567,"['Titus Welliver', 'Mimi Rogers', 'Madison Lintz']"
Night Sky,2022,7.4,19562,"['J.K. Simmons', 'Chai Hansen', 'Kiah McKirnan']"
Star Trek: Lower Decks,2020– ,7.5,19560,"['Jack Quaid', 'Noël Wells', 'Eugene Cordero']"
Star Wars: Visions,2021– ,7,19508,"['Neil Kaplan', 'Adam Sietz', 'JP Karliak']"
Queer Eye,2018– ,8.5,19473,"['Antoni Porowski', 'Jonathan Van Ness', 'Karamo Brown']"
FBI,2018– ,7,19445,"['Zeeko Zaki', 'Jeremy Sisto', 'Alana De La Garza']"
Who Is America?,2018,8.3,19432,"['Roy Elghanayan', 'Emanuela Postacchini', 'Gloria Sandoval']"
Doug,1991–1994,7.4,19390,"['Fred Newman', 'Constance Shulman', 'Doug Preis']"
Sliders,1995–2000,7.4,19294,"['Sabrina Lloyd', 'John Rhys-Davies', 'Cleavant Derricks']"
Stargirl,2020–2022,7.2,19244,"['Trae Romano', 'Amy Smart', 'Luke Wilson']"
Blood of Zeus,2020– ,7.5,19237,"[""Jason O'Mara"", 'Jessica Henwick', 'Claudia Christian']"
Kidding,2018–2020,8,19190,"['Frank Langella', 'Judy Greer', 'Cole Allen']"
Melissa & Joey,2010–2015,7,19162,"['Joey Lawrence', 'Taylor Spreitler', 'Nick Robinson']"
Glitch,2015–2019,7.2,19123,"['Emma Booth', 'Sean Keenan', 'Hannah Monson']"
Ghosts,2019– ,8.3,19114,"['Mathew Baynton', 'Simon Farnaby', 'Martha Howe-Douglas']"
Police Squad!,1982,8.4,19106,"['Alan North', 'Rex Hamilton', 'Ed Williams']"
Leverage: Redemption,2021– ,8.2,19090,"['Christian Kane', 'Beth Riesgraf', 'Aleyse Shannon']"
Danny Phantom,2003–2007,7.1,19087,"['Grey Griffin', ""Rickey D'Shon Collins"", 'Rob Paulsen']"
He-Man and the Masters of the Universe,1983–1985,7.5,19049,"['Alan Oppenheimer', 'Linda Gary', 'Lou Scheimer']"
NCIS: New Orleans,2014–2021,6.8,19040,"['Rob Kerkovich', 'CCH Pounder', 'Daryl Mitchell']"
Workin' Moms,2017–2023,7.8,19021,"['Dani Kind', 'Philip Sternberg', 'Ryan Belleville']"
"Love, Victor",2020–2022,8,19010,"['Rachel Hilson', 'Anthony Turpel', 'Bebe Wood']"
Genius,I) (2017– ,8.2,18996,"['Seth Gabel', 'Antonio Banderas', 'Clémence Poésy']"
JAG,1995–2005,6.6,18991,"['Catherine Bell', 'Patrick Labyorteaux', 'John M. Jackson']"
The Lying Game,2011–2013,7.3,18925,"['Andy Buckley', 'Allie Gonino', 'Alice Greczyn']"
Family Ties,1982–1989,7.2,18880,"['Michael Gross', 'Meredith Baxter', 'Justine Bateman']"
The Tick,2016–2019,7.4,18876,"['Griffin Newman', 'Valorie Curry', 'Brendan Hines']"
The Devil's Hour,2022– ,7.7,18832,"['Peter Capaldi', 'Nikesh Patel', 'Benjamin Chivers']"
Outcast,2016–2017,7.3,18795,"['Philip Glenister', 'Wrenn Schmidt', 'Reg E. Cathey']"
Please Like Me,2013–2016,8.5,18734,"['Thomas Ward', 'John', 'Debra Lawrance']"
Body of Proof,2011–2013,7.1,18728,"['Jeri Ryan', 'Geoffrey Arend', 'Windell Middlebrooks']"
Girlboss,2017,7,18718,"['Ellie Reed', 'Johnny Simmons', 'Alphonso McAuley']"
Kingdom,2014–2017,8.5,18697,"['Kiele Sanchez', 'Matt Lauria', 'Jonathan Tucker']"
Bitten,2014–2016,6.9,18630,"['Greyston Holt', 'Greg Bryk', 'Steve Lund']"
Ned's Declassified School Survival Guide,2004–2007,7.4,18544,"['Lindsey Shaw', 'Daniel Curtis Lee', 'Kyle Swann']"
Fresh Meat,2011–2016,7.8,18526,"['Greg McHugh', 'Kimberley Nixon', 'Charlotte Ritchie']"
The Adventures of Tintin,1991–1992,8.3,18490,"['Thierry Wermuth', 'Christian Pelissier', 'Henri Labussière']"
The Tonight Show Starring Jimmy Fallon,2014– ,7.1,18456,"['The Roots', 'Steve Higgins', 'Questlove']"
Late Night with Conan O'Brien,1993–2009,8.2,18440,"['The Max Weinberg 7', 'Andy Richter', 'Joel Godard']"
Human Target,2010–2011,7.8,18427,"['Chi McBride', 'Jackie Earle Haley', 'Indira Varma']"
The Drew Carey Show,1995–2004,6.9,18404,"['Diedrich Bader', 'Kathy Kinney', 'Ryan Stiles']"
The Future Diary,2011–2013,7.5,18323,"['Josh Grelle', 'Leah Clark', 'Emily Neves']"
Deadly Class,2018–2019,7.5,18304,"['Benjamin Wadsworth', 'Lana Condor', 'María Gabriela de Faría']"
The Tourist,2022,7,18209,"['Danielle Macdonald', 'Shalom Brune-Franklin', 'Ólafur Darri Ólafsson']"
Thundercats,1985–1989,7.9,18203,"['Larry Kenney', 'Earl Hammond', 'Lynne Lipton']"
America's Next Top Model,2003– ,5.6,18183,"['Yoanna House', 'Tyra Banks', 'J. Alexander']"
My Mad Fat Diary,2013–2015,8.4,18114,"['Dan Cohen', 'Jodie Comer', 'Darren Evans']"
666 Park Avenue,2012–2013,6.8,18105,"['Dave Annable', 'Robert Buckley', 'Samantha Logan']"
Young Rock,2021– ,7.9,18093,"['Joseph Lee Anderson', 'Stacey Leilua', 'Ana Tuisila']"
Flashpoint,2008–2012,7.8,17999,"['Amy Jo Johnson', 'David Paetkau', 'Sergio Di Zio']"
Through the Wormhole,2010–2017,8.6,17992,"['Sean Carroll', 'Michio Kaku', 'Kip Thorne']"
Alfred Hitchcock Presents,1955–1962,8.5,17981,"['Harry Tyler', 'John Williams', 'Patricia Hitchcock']"
Star-Crossed,2014,7.1,17952,"['Matt Lanter', 'Grey Damon', 'Greg Finley']"
Boss,2011–2012,8.1,17922,"['Connie Nielsen', 'Hannah Ware', 'Jeff Hephner']"
Doc Martin,2004–2022,8.4,17847,"['Martin Clunes', 'Ian McNeice', 'Joe Absolom']"
The New Batman Adventures,1997–1999,8.4,17847,"['Tara Strong', 'Mathew Valencia', 'Efrem Zimbalist Jr.']"
Da Ali G Show,2000–2004,8,17816,"['Steve Ellington', 'T.N.T. Crew']"
Rookie Blue,2010–2015,7.7,17795,"['Gregory Smith', 'Enuka Okuma', 'Travis Milne']"
Inside No. 9,2014– ,8.5,17757,"['Steve Pemberton', 'Derek Jacobi', 'Katherine Parkinson']"
Criminal Justice,2019– ,8.1,17740,"['Pankaj Tripathi', 'Rucha Inamdar', 'Jagat Rawat']"
Happy Tree Friends,2000–2016,7,17735,"['Ellen Connell', 'Warren Graff', 'Kenn Navarro']"
On My Block,2018–2021,7.9,17701,"['Jason Genao', 'Brett Gray', 'Diego Tinoco']"
In Treatment,2008–2021,8.3,17691,"['Uzo Aduba', 'Dianne Wiest', 'Michelle Forbes']"
Heartland,II) (2007– ,8.5,17655,"['Shaun Johnston', 'Michelle Morgan', 'Chris Potter']"
Trollhunters: Tales of Arcadia,2016–2018,8.4,17649,"['Lexi Medrano', 'Anton Yelchin', 'Kelsey Grammer']"
The Chair,2021,7.2,17645,"['Jay Duplass', 'Bob Balaban', 'Nana Mensah']"
Gypsy,2017,6.8,17641,"['Billy Crudup', 'Sophie Cookson', 'Karl Glusman']"
Smash,2012–2013,7.7,17616,"['Jack Davenport', 'Katharine McPhee', 'Christian Borle']"
The Purge,2018–2019,6.5,17609,"['Derek Luke', 'Hannah Emily Anderson', 'Max Martini']"
"Walker, Texas Ranger",1993–2001,5.6,17607,"['Clarence Gilyard Jr.', 'Sheree J. Wilson', 'Noble Willingham']"
Stalker,2014–2015,7.5,17595,"['Maggie Q', 'Victor Rasuk', 'Mariana Klaveno']"
White Lines,2020,6.6,17570,"['Nuno Lopes', 'Marta Milans', 'Daniel Mays']"
Lockwood & Co,2023– ,7.4,17537,"['Cameron Chapman', 'Ali Hadji-Heshmati', 'Jack Bandeira']"
Northern Exposure,1990–1995,8.4,17534,"['Janine Turner', 'Barry Corbin', 'John Cullum']"
The Mick,2017–2018,7.8,17488,"[""Sofia Black-D'Elia"", 'Thomas Barbusca', 'Carla Jimenez']"
Versailles,2015–2018,7.9,17484,"['Alexander Vlahos', 'Tygh Runyan', 'Stuart Bowman']"
Reservation Dogs,2021– ,8.1,17436,"[""D'Pharaoh Woon-A-Tai"", 'Lane Factor', 'Paulina Alexis']"
Motherland: Fort Salem,2020–2022,7.3,17435,"['Amalia Holm', 'Demetria McKinney', 'Jessica Sutton']"
Justice League Unlimited,2004–2006,8.7,17395,"['Kevin Conroy', 'Phil LaMarr', 'Carl Lumbly']"
Electric Dreams,2017–2018,7.2,17370,"['Richard Madden', 'Steve Buscemi', 'Timothy Spall']"
All in the Family,1971–1979,8.4,17362,"['Jean Stapleton', 'Rob Reiner', 'Sally Struthers']"
Shameless,2004–2013,8,17353,"['Rebecca Atkinson', 'Alice Barry', 'Nicky Evans']"
"Two Guys, a Girl and a Pizza Place",1998–2001,7.4,17350,"['Ryan Reynolds', 'Richard Ruccolo', 'Suzanne Cryer']"
Metalocalypse,2006–2013,8.3,17294,"['Tommy Blacha', 'Mark Hamill', 'Victor Brandt']"
Uncoupled,2022,7,17273,"['Tisha Campbell', 'Brooks Ashmanskas', 'Emerson Brooks']"
The Ellen DeGeneres Show,2003–2023,6.7,17246,"['Stephen Boss', 'Andy Lassner', 'Kym Douglas']"
Dickinson,2019–2021,7.6,17242,"['Adrian Enscoe', 'Anna Baryshnikov', 'Jane Krakowski']"
